nom;latitude_mairie;longitude_mairie;beach_coordinates;latitude_plage;longitude_plage;station;latitude_gare;longitude_gare;latitude_port;longitude_port
Groix;47.6385240;-3.4549219;[(Decimal('47.6229851'), Decimal('-3.4561170')), (Decimal('47.6490553'), Decimal('-3.4790716'))];47.638524;-3.451528;[(Decimal('47.6442497'), Decimal('-3.4466221')), (Decimal('47.6441348'), Decimal('-3.4466186'))];47.647542;-3.51126;;
Hézo;47.585454;-2.70173;[];;;[(None, None)];;;47.586144;-2.70312
Île-aux-Moines;47.5970583;-2.8456461;[];47.59757;-2.850212;[(Decimal('47.6013417'), Decimal('-2.8519920'))];;;;
Île-d'Arz;;;[];47.596858;-2.797694;[(None, None)];;;;
Séné;47.5414430;-2.8169881;[(Decimal('47.5622618'), Decimal('-2.9066667')), (Decimal('47.5438360'), Decimal('-2.8395150'))];;;[(None, None)];;;47.622507;-2.77718
Surzur;47.586803;-2.630935;[];47.55;-2.668271;[(None, None)];47.578587;-2.62936;47.580579;-2.631509
Vannes;47.5414430;-2.8169881;[(Decimal('47.4958342'), Decimal('-2.4843909')), (Decimal('47.7772651'), Decimal('-2.3808581')), (Decimal('47.5622618'), Decimal('-2.9066667')), (Decimal('47.5438360'), Decimal('-2.8395150'))];47.664761;-2.739506;[(Decimal('47.6652992'), Decimal('-2.7525901')), (Decimal('47.6379806'), Decimal('-2.7620299')), (Decimal('47.6584358'), Decimal('-2.7644525')), (Decimal('47.6757223'), Decimal('-2.2955265')), (Decimal('47.6013417'), Decimal('-2.8519920'))];;;;
Bono;;;[];;;[(None, None)];;;47.640254;-2.949892
Bonifacio;;;[];41.408995;9.211438;[(None, None)];41.387257;9.159749;;
Bastia;42.7746370;9.4749310;[];42.687608;9.435179;[(Decimal('42.5328351'), Decimal('9.4474124')), (Decimal('42.6712125'), Decimal('9.4440832')), (Decimal('42.6637699'), Decimal('9.4432709')), (Decimal('42.7020235'), Decimal('9.4475649')), (Decimal('42.7024600'), Decimal('9.4565284')), (Decimal('42.6202813'), Decimal('9.4376461')), (Decimal('42.6877420'), Decimal('9.4446096')), (Decimal('42.5448840'), Decimal('9.4486466')), (Decimal('42.5627188'), Decimal('9.4466801')), (Decimal('42.6515267'), Decimal('9.4411962')), (Decimal('42.6149413'), Decimal('9.4376789')), (Decimal('42.5218272'), Decimal('9.4410912')), (Decimal('42.6597171'), Decimal('9.4444398')), (Decimal('42.6810175'), Decimal('9.4453579')), (Decimal('42.6287931'), Decimal('9.4407742')), (Decimal('42.5847234'), Decimal('9.4415950')), (Decimal('42.7006931'), Decimal('9.4526207')), (Decimal('42.5965026'), Decimal('9.4393246')), (Decimal('42.7024836'), Decimal('9.4516945')), (Decimal('42.5764479'), Decimal('9.4443865')), (Decimal('42.6454048'), Decimal('9.4419382')), (Decimal('42.5504894'), Decimal('9.4418644')), (Decimal('42.7000796'), Decimal('9.4558151'))];;;42.695847;9.449499
Castellare-di-Casinca;42.4672951;9.4732068;[];42.468999;9.496106;[(None, None)];42.468999;9.496106;42.468999;9.496106
Farinole;42.7321470;9.3622828;[];42.731168;9.354624;[(None, None)];42.735482;9.347135;42.731168;9.354624
Oletta;42.653201;9.324833;[];42.6322;9.342666;[(None, None)];;;42.6322;9.342666
Palasca;42.5892980;9.0429001;[];;;[(Decimal('42.5934287'), Decimal('9.0484850'))];42.592986;9.04804;42.629025;9.031974
Penta-di-Casinca;42.442228;9.539099;[];42.446005;9.521658;[(None, None)];42.453419;9.499185;42.453419;9.499185
