code;communeName
03252;Saint-Pont
05039;Aubessagne
16203;Mainzac
16372;Souffrignac
24002;Agonac
24011;Antonne-et-Trigonant
24026;Bassillac et Auberoche
24098;Champcevinel
24102;Chancelade
24108;Chapelle-Gonaguet
24115;Château-l'Évêque
24135;Cornille
24138;Coulounieix-Chamiers
24139;Coursac
24175;Farges
24208;Grun-Bordas
24256;Marsac-sur-l'Isle
24263;Mazeyrolles
24312;Sanilhac
24313;Orliac
24326;Peyzac-le-Moustier
24330;Plazac
24337;Prats-du-Périgord
24426;Saint-Jean-d'Estissac
24431;Saint-Julien-de-Crempse
24443;Saint-Léon-sur-Vézère
24540;Sorges et Ligueux en Périgord
24557;Trélissac
27447;Val-Doré
31166;Empeaux
36006;Argenton-sur-Creuse
36012;Baraize
36014;Bazaiges
36032;Ceaulmont
36033;Celon
36042;Chasseneuil
36048;Chavin
36062;Cuzion
36069;Écueillé
36072;Faverolles-en-Berry
36077;Fontguenand
36080;Frédille
36081;Gargilesse-Dampierre
36082;Gehée
36086;Heugnes
36090;Jeu-Maloches
36092;Langé
36103;Luçay-le-Mâle
36107;Lye
36117;Menoux
36131;Mosnay
36154;Pêchereau
36155;Pellevoisin
36158;Badecon-le-Pin
36160;Pommiers
36161;Pont-Chrétien-Chabenet
36166;Préaux
36192;Saint-Gaultier
36200;Saint-Marcel
36216;Selles-sur-Nahon
36219;Tendu
36228;Valençay
36233;Vernelle
36235;Veuil
36237;Vicq-sur-Nahon
36243;Villegouin
36244;Villentrois
37003;Amboise
37074;Chouzé-sur-Loire
37138;Lussault-sur-Loire
37252;Souvigny-de-Touraine
41002;Angé
41009;Averdon
41035;Champigny-en-Beauce
41042;Châteauvieux
41043;Châtillon-sur-Cher
41049;Chémery
41051;Chissay-en-Touraine
41054;Choussy
41062;Couddes
41063;Couffy
41080;Faverolles-sur-Cher
41099;Gy-en-Sologne
41112;Lassay-sur-Croisne
41126;Mareuil-sur-Cher
41132;Méhers
41139;Meusnes
41146;Monthou-sur-Cher
41151;Montrichard Val de Cher
41164;Noyers-sur-Cher
41166;Oisly
41180;Pontlevoy
41181;Pouillé
41195;Rougeou
41198;Saint-Aignan
41211;Saint-Georges-sur-Cher
41217;Saint-Julien-de-Chédon
41229;Saint-Romain-sur-Cher
41237;Sassay
41239;Seigy
41242;Selles-sur-Cher
41247;Soings-en-Sologne
41257;Thenay
41258;Thésée
41267;Vallières-les-Grandes
47044;Cahuzac
47057;Castillonnès
47063;Cavarc
47083;Doudrac
47128;Lafox
47132;Lalandusse
47164;Mazières-Naresse
47219;Rayet
