nom_commune;prix_moyen_non_inondable;prix_moyen_inondable;prix_moyen_total;différence_inondable;nb_non_inondable;nb_inondable
Carqueiranne;4985,877171953739;9000,0;5002,8143990762965;4014,122828046261;236;1
Nice;6797,640810793592;10713,955163431656;7310,6485602775365;3916,3143526380636;6707;1011
Port-Vendres;3053,5290920533;6752,030303030304;3281,831635940769;3698,501210977004;76;5
Cagnes-sur-Mer;5646,538284187978;8977,940631022597;6398,56370847343;3331,4023468346186;734;214
Dives-sur-Mer;3590,5604947698002;5410,173292577558;4943,605908524286;1819,6127978077575;10;29
Toulouse;3408,2052830218454;5122,925770606903;4143,08549198687;1714,7204875850575;12;9
Antibes;5815,502412106731;7488,462931244518;5882,619698907208;1672,9605191377868;1938;81
Guérande;3881,3664364553497;5250,662850836475;4205,018316218161;1369,296414381125;42;13
Hendaye;4907,055469046415;6260,631722579297;5030,9121196964825;1353,5762535328822;278;28
Cannes;8005,172773126335;9246,025556439417;8063,813362813931;1240,852783313082;2641;131
Ollioules;3372,4201853954532;4603,5191959753165;3624,9533157708097;1231,0990105798633;62;16
Grimaud;7740,323341900027;8931,969576559319;8506,381635609572;1191,6462346592916;40;72
Marseillan;3179,790136402151;4352,010355203077;4143,923925830131;1172,220218800926;30;140
Hyères;4801,7408236578085;5844,3120841753525;4935,527424718441;1042,571260517544;754;111
Concarneau;3601,5254875098317;4631,312173239321;3699,020084975345;1029,7866857294894;153;16
Andernos-les-Bains;5773,332030073746;6789,062712915179;6037,422007612518;1015,730682841433;37;13
Fouesnant;4072,4987967336588;5043,2097325870645;4169,5698903190005;970,7109358534058;36;4
Ouistreham;3058,486448885393;4019,1594812018725;3761,6594931582804;960,6730323164793;26;71
Vallauris;5913,519420475635;6758,420673122157;5957,427674550179;844,9012526465212;602;33
Frontignan;3129,023078062747;3961,8075687759374;3669,1134381487072;832,7844907131903;84;155
Ajaccio;4142,127779608317;4953,958108108108;4144,44068652712;811,830328499791;700;2
Argelès-sur-Mer;3356,1167085936686;4099,070780132183;3901,2877849785855;742,9540715385147;78;215
Sète;3808,1123550361053;4526,2005839804215;4073,2526241847754;718,0882289443161;656;384
Saint-Laurent-du-Var;4911,136417978126;5505,756605264819;4956,078641435841;594,6201872866932;477;39
Cabourg;5448,481775897002;6021,911871979433;5692,652010357909;573,4300960824312;178;132
Arès;4779,590379377806;5336,690739889426;5018,34767673993;557,1003605116202;12;9
Troyes;1601,8092930127893;2117,2266679854984;1842,3374013333867;515,417374972709;8;7
Agde;3950,960240835887;4462,04819178195;4134,991910061083;511,08795094606285;981;552
Saint-Pierre-d'Oléron;4157,5549616747185;4666,666666666667;4203,837843946713;509,1117049919485;10;1
Châtelaillon-Plage;5356,157608531387;5821,785555704248;5551,721346343988;465,62794717286033;29;21
Gruissan;3635,3918373429283;4084,4645268478935;3669,022831711142;449,0726895049652;210;17
Gujan-Mestras;4384,486070770056;4832,9800525551145;4533,9840646984085;448,49398178505817;52;26
Aytré;4103,414841500466;4539,182009030703;4145,781093899238;435,7671675302372;65;7
Cancale;3793,00823353465;4112,501763668431;3842,1610843244625;319,4935301337805;33;6
Canet-en-Roussillon;3834,2873144471127;4149,327463086964;3947,0385255392703;315,04014863985094;244;136
Saint-Hilaire-de-Riez;3446,640074373864;3749,427832616444;3462,2600777752673;302,7877582425799;239;13
Saint-Malo;4724,690424361555;5012,303631748327;4811,917380700166;287,61320738677114;340;148
Saint-Martin-de-Ré;7469,069374904614;7737,012987012987;7513,726643589343;267,9436121083727;15;3
Bénodet;3902,8749749254766;4130,746157501847;3933,9483180040725;227,8711825763703;57;9
Palavas-les-Flots;5681,7341820060665;5826,09632317879;5711,195843469887;144,36214117272357;156;40
Elne;2441,4030621146026;2582,4549858036703;2496,003806768435;141,05192368906773;19;12
Merville-Franceville-Plage;4250,0;4367,53643155526;4364,737945089658;117,5364315552597;1;41
Lège-Cap-Ferret;11358,122123700367;11450,199587385445;11374,135595645597;92,07746368507833;38;8
Villeneuve-Loubet;6511,325290461864;6576,70319273475;6522,077094018678;65,37790227288588;315;62
Lucciana;2961,584926760066;2998,27980804725;2965,407310227481;36,69488128718376;43;5
Dieppe;2598,5385776572775;2628,04330623108;2608,32443526405;29,504728573802367;268;133
Fleury;3582,223975889928;3586,2462770234724;3583,5060843762453;4,022301133544261;109;51
Vaux-sur-Mer;5213,136150508962;5192,177029764687;5212,197682415935;-20,959120744274514;64;3
Valras-Plage;3733,5783569895266;3511,5476190476193;3731,541377742353;-222,03073794190732;216;2
Guilvinec;2775,627530673547;2512,1951219512193;2756,8109300505234;-263,43240872232764;13;1
Saint-Cyprien;3930,6459804932015;3661,3869007466783;3898,008516281501;-269,2590797465232;319;44
Portiragnes;2720,429124907812;2388,8888888888887;2698,32644250655;-331,5402360189232;14;1
Orléans;2909,569398870267;2548,160173160173;2853,9679795302527;-361,4092257100938;11;2
Six-Fours-les-Plages;5367,723810731216;4984,38011823449;5343,349356295008;-383,34369249672636;486;33
Saint-Raphaël;5365,419742023227;4906,35906507667;5335,323980859772;-459,06067694655667;1069;75
Pégomas;4718,576336956381;4247,396494021393;4425,200208336483;-471,1798429349883;20;33
Sainte-Maxime;6217,872665399496;5743,217194598891;6050,0525253275155;-474,65547080060514;245;134
Royan;4584,11611244514;4076,0528554323423;4494,109568079236;-508,06325701279775;353;76
Cherbourg-en-Cotentin;3506,191916236947;2973,0405833227283;3395,118721879818;-533,1513329142185;285;75
Arcachon;8812,627868824917;8251,258661849144;8674,392808848901;-561,3692069757726;251;82
Fréjus;4547,364530047028;3951,72811584525;4461,15399641256;-595,6364142017778;975;165
Mandelieu-la-Napoule;5565,343109967455;4933,678696425481;5329,821332586192;-631,6644135419747;476;283
Saint-Nazaire;3393,0970142545166;2751,3838169632563;3371,3774906538893;-641,7131972912603;628;22
Saint-Jean-de-Luz;7708,6208063535405;6973,371433896496;7606,278402861351;-735,249372457045;235;38
Ciboure;6741,502334250854;5943,349112284239;6540,166386367384;-798,1532219666151;83;28
Saint-Georges-de-Didonne;4613,678548450783;3720,8946788698836;4519,701299021214;-892,7838695808991;102;12
Pornichet;7140,812383643679;6244,769997169176;7113,241848675233;-896,0423864745026;189;6
Dunkerque;3137,8309772296784;2117,749521718796;3007,461822601606;-1020,0814555108823;389;57
Cogolin;4699,966559496565;3489,9539401460547;4660,163512807405;-1210,0126193505107;147;5
Sanary-sur-Mer;7094,224014514987;5847,476819107298;6788,136379714297;-1246,747195407689;252;82
Toulon;4057,1391058970585;2576,548859555159;3721,1929583477977;-1480,5902463418993;2075;609
Sérignan;4232,625174213297;2675,023332476526;3347,62412777195;-1557,6018417367713;19;25
Roquebrune-sur-Argens;5915,697345360534;4040,059137452041;5851,900127404463;-1875,6382079084933;142;5
Urrugne;4996,460936215539;1776,9407825905;4884,152093647224;-3219,520153625039;83;3
Saint-Georges-d'Oléron;6492,97802020202;3210,25641025641;6194,548782934237;-3282,72160994561;10;1
