nom_commune;prix_moyen_non_inondable;prix_moyen_inondable;écart;nb_transactions;part_inondable;Population
Nice;7115,821139095202;17961,094057290684;152,41070153675182;247;4,4534412955465585;348085
Nantes;4766,855496872313;4932,044105986594;3,465358016886961;948;2,320675105485232;323204
Bordeaux;5695,431555671476;5207,509418728461;-8,566903704727086;1091;3,666361136571952;261804
Toulon;4804,6080920864215;4090,7026737479596;-14,858764849402014;429;10,722610722610723;180452
Perpignan;2327,435558785698;2075,2700180620755;-10,834480025525858;546;18,315018315018314;119656
Rouen;3072,656278779002;2903,655929397465;-5,500138448570421;365;6,8493150684931505;114083
Caen;3517,49203625799;0,0;-100,0;317;;108200
Dunkerque;1989,268208297404;2215,290138958487;11,36206418613271;606;11,221122112211221;86788
Béziers;2475,998882031469;2416,0669366958573;-2,4205158479893787;473;4,0169133192389;80341
Cherbourg-en-Cotentin;2402,2774753159742;2388,967075529492;-0,5540742034694218;567;10,582010582010582;77808
