nom_commune;prix_moyen_non_inondable;prix_moyen_inondable;prix_moyen_total;différence_inondable;nb_non_inondable;nb_inondable;Population
Nice;5039,570139232397;4463,50243105346;4965,2871330561975;-576,0677081789372;6701;992;345998
Toulon;3275,829650380874;2487,3818156280176;3113,9917057352736;-788,4478347528566;2447;632;171643
Dunkerque;2030,0555182949063;2098,0597619068453;2038,2086156216783;68,00424361193905;969;132;89485
Cherbourg-en-Cotentin;2201,0153376279295;2272,8980995630172;2211,109512708176;71,88276193508773;808;132;82578
Calais;1596,9518412896898;1453,5808899801855;1592,1521658138856;-143,37095130950433;895;31;75719
Cannes;6592,852269744733;7753,977786457516;6646,54356614056;1161,1255167127829;2702;131;75046
Antibes;5463,564124233656;6986,845029701308;5522,686899103405;1523,2809054676518;2105;85;74982
Saint-Nazaire;3050,137508433538;2396,2801112949874;3010,26815494948;-653,8573971385508;1155;75;72295
Hyères;4227,335925287245;5691,779924204917;4414,583535835878;1464,4439989176717;914;134;56799
Fréjus;4281,164259858403;3919,6962809509077;4236,012830271661;-361,4679789074953;1233;176;54023
Cagnes-sur-Mer;4752,196634900993;4659,270716286238;4733,9741731652;-92,92591861475466;865;211;50385
Saint-Malo;4713,637234516344;5158,964987980987;4851,0134052509375;445,32775346464314;538;240;47528
Sète;3717,0173486104577;3666,69606843717;3699,836599573824;-50,321280173287505;760;394;44271
Saint-Raphaël;4903,534494833419;4934,942497018523;4905,2658193354955;31,408002185104124;1337;78;35826
Six-Fours-les-Plages;5222,258915580237;5109,201596765124;5216,696254947046;-113,05731881511292;715;37;33904
Dieppe;2128,200810565429;2319,500546940108;2185,558142084924;191,29973637467901;411;176;30588
Saint-Laurent-du-Var;4601,187100149885;5634,662558372558;4678,742850068865;1033,4754582226733;530;43;28831
Agde;3971,4397463665077;4099,943501731327;4010,201954306319;128,50375536481943;1403;606;28120
Vallauris;4806,180495825131;6320,171013745353;4885,330134161442;1513,9905179202215;707;39;26787
Frontignan;3217,9299582311933;4006,681797695394;3657,1638024825843;788,7518394642007;187;235;22730
