nom_commune;prix_moyen_non_inondable;prix_moyen_inondable;écart;nb_transactions;part_inondable;Population
Nice;5011,131818662805;4440,681406493816;-11,383664066558334;7536;12,752123142250532;348085
Nantes;3705,2336305173603;3911,45837069584;5,565768875677746;4102;11,652852267186738;323204
Bordeaux;4936,550038720869;3916,3325164259304;-20,666609561184394;3512;8,314350797266515;261804
Toulon;3033,8367517937;2456,260600940727;-19,037812450241166;2648;22,167673716012086;180452
Perpignan;1625,5185572327325;1597,018051015793;-1,7533178006567074;1895;25,32981530343008;119656
Rouen;2811,2921941589316;2615,8473025515673;-6,952137241850684;1936;18,026859504132233;114083
Caen;2922,380922131114;3269,7122782485976;11,885218435664989;1736;2,2465437788018434;108200
Dunkerque;2150,766092668052;1991,881227114102;-7,387361466018424;495;12,323232323232324;86788
Béziers;1613,8924230550085;1334,1226337204612;-17,33509528503509;1021;2,644466209598433;80341
Cherbourg-en-Cotentin;2169,38857856449;2330,620011847147;7,432114047053087;357;20,168067226890756;77808
