variable;M.1_coef;M.1_pvalue;M.2_coef;M.2_pvalue;M.3_coef;M.3_pvalue;M.4_coef;M.4_pvalue
Observations;18175.0;;18175.0;;15931.0;;15931.0;
R² ajusté;0.5174;;0.649;;0.6382;;0.6382;
const;10.765321;0.0***;10.557126;0.0***;10.525246;0.0***;10.526584;0.0***
zone_inondable;0.02858;0.023**;0.016462;0.199;0.009366;0.512;;
scenario_01For;;;;;;;0.007469;0.823
log_distance_centre_ville;;;;;0.016001;0.001***;0.016242;0.001***
log_distance_min_beach;;;;;-0.043542;0.0***;-0.043616;0.0***
log_distance_min_station;;;;;0.01512;0.001***;0.015022;0.001***
log_surface_reelle_bati;-0.735504;0.0***;-0.690512;0.0***;-0.683577;0.0***;-0.683658;0.0***
nombre_pieces_principales;1e-06;0.0***;1e-06;0.0***;1e-06;0.0***;1e-06;0.0***
periode_construction_dpe_1948-1974;0.094596;0.0***;0.058277;0.0***;0.059256;0.0***;0.059209;0.0***
periode_construction_dpe_1975-1988;0.184953;0.0***;0.10463;0.0***;0.103853;0.0***;0.103652;0.0***
periode_construction_dpe_1989-2000;0.25278;0.0***;0.158832;0.0***;0.160915;0.0***;0.160819;0.0***
periode_construction_dpe_2001-2012;0.231452;0.0***;0.18405;0.0***;0.184543;0.0***;0.18441;0.0***
periode_construction_dpe_après 2013;0.260247;0.0***;0.184047;0.0***;0.192556;0.0***;0.192215;0.0***
population__10000-50000;0.047381;0.0***;0.191143;0.0***;0.174988;0.0***;0.174649;0.0***
population__plus_50000;-0.108959;0.0***;0.39537;0.0***;0.423564;0.0***;0.423668;0.0***
